300067 安诺其 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	5.89	6.03	5.86	5.98	591481	11004232.000
10/11/2010	6.01	6.02	5.93	5.98	644046	11997989.000
10/12/2010	5.99	6.10	5.97	6.05	612518	11556290.000
10/13/2010	6.05	6.12	6.03	6.12	744233	14069373.000
10/14/2010	6.13	6.13	5.96	5.96	899623	16899926.000
10/15/2010	5.97	5.99	5.82	5.89	943992	17331188.000
10/18/2010	5.88	5.88	5.72	5.74	992127	17827500.000
10/19/2010	5.79	6.22	5.74	6.10	1919253	36229316.000
10/20/2010	5.99	6.27	5.96	6.05	1638636	31209106.000
10/21/2010	6.05	6.08	5.97	6.06	768964	14448467.000
10/22/2010	6.07	6.22	6.03	6.14	1170113	22423104.000
10/25/2010	6.16	6.27	6.10	6.26	1438279	27892238.000
10/26/2010	6.28	6.31	6.13	6.17	1174692	22651868.000
10/27/2010	6.15	6.23	6.05	6.10	1066336	20397916.000
10/28/2010	6.09	6.13	6.05	6.13	734376	13953860.000
10/29/2010	6.13	6.25	6.12	6.22	1152540	22284530.000
11/01/2010	6.29	6.46	6.23	6.41	2001303	39734132.000
11/02/2010	6.48	6.48	6.21	6.22	1576824	31059378.000
11/03/2010	6.22	6.22	6.10	6.11	885955	16947098.000
11/04/2010	6.10	6.17	6.09	6.17	655564	12545957.000
11/05/2010	6.19	6.25	6.13	6.23	751679	14515586.000
11/08/2010	6.23	6.41	6.22	6.40	1373272	27048306.000
11/09/2010	6.43	6.43	6.31	6.39	1395682	27693788.000
11/10/2010	6.39	6.52	6.37	6.51	2120951	42796336.000
11/11/2010	6.49	6.67	6.43	6.46	2144508	43761836.000
11/12/2010	6.45	6.50	6.08	6.08	1837842	35943896.000
11/15/2010	6.09	6.32	6.09	6.32	1339662	26061802.000
11/16/2010	6.41	6.52	6.16	6.23	2060079	40806160.000
11/17/2010	6.18	6.34	6.09	6.15	1194923	23278048.000
11/18/2010	6.19	6.39	6.16	6.38	1219570	23875578.000
11/19/2010	6.41	6.55	6.34	6.55	2513696	50450316.000
11/22/2010	6.49	6.76	6.48	6.66	3594707	74451392.000
11/23/2010	6.66	6.66	6.36	6.56	1701400	34409860.000
11/24/2010	6.59	7.05	6.59	6.88	3365236	71977648.000
11/25/2010	6.85	7.02	6.66	6.72	3504162	74088368.000
11/26/2010	6.71	6.79	6.63	6.73	1726982	35947976.000
11/29/2010	6.73	6.85	6.67	6.82	1640623	34493636.000
11/30/2010	6.78	6.79	6.39	6.51	1940104	39578492.000
12/01/2010	6.48	6.58	6.44	6.53	600032	12169140.000
12/02/2010	6.59	6.68	6.54	6.61	1136005	23330684.000
12/03/2010	6.62	6.62	6.42	6.51	880566	17782548.000
12/06/2010	6.47	6.52	6.34	6.37	781089	15588914.000
12/07/2010	6.36	6.48	6.29	6.48	649680	12914328.000
12/08/2010	6.52	6.63	6.48	6.57	1254277	25595246.000
12/09/2010	6.58	6.76	6.56	6.56	2098845	43546164.000
12/10/2010	6.56	6.59	6.37	6.58	1052478	21297246.000
12/13/2010	6.62	6.75	6.51	6.72	1640625	34137820.000
12/14/2010	6.73	6.82	6.66	6.76	1237809	25851780.000
12/15/2010	6.76	6.86	6.69	6.72	1449617	30484956.000
12/16/2010	6.72	6.82	6.71	6.73	1028576	21611242.000
12/17/2010	6.72	6.79	6.69	6.74	821510	17167748.000
12/20/2010	6.76	6.83	6.44	6.59	1400778	28898222.000
12/21/2010	6.59	6.66	6.49	6.61	852897	17459730.000
12/22/2010	6.61	6.65	6.52	6.54	713582	14570493.000
12/23/2010	6.54	6.59	6.44	6.45	613545	12428735.000
12/24/2010	6.43	6.50	6.36	6.46	690996	13843893.000
12/27/2010	6.44	6.54	6.27	6.28	660411	13171416.000
12/28/2010	6.26	6.26	6.05	6.06	633741	12154977.000
12/29/2010	6.06	6.15	6.03	6.12	356007	6771515.000
12/30/2010	6.12	6.21	6.10	6.18	248615	4769574.000
12/31/2010	6.21	6.24	6.18	6.24	338933	6557814.500
01/04/2011	6.25	6.30	6.21	6.29	433786	8455327.000
01/05/2011	6.27	6.35	6.25	6.25	370055	7232155.000
01/06/2011	6.28	6.28	6.14	6.16	451904	8709965.000
01/07/2011	6.13	6.22	6.12	6.14	381309	7330386.000
01/10/2011	6.20	6.20	6.04	6.04	286249	5461297.000
01/11/2011	6.04	6.09	5.99	6.05	317046	5954890.500
01/12/2011	6.05	6.11	5.99	6.10	243781	4602926.500
01/13/2011	6.10	6.12	6.07	6.10	212102	4037927.250
01/14/2011	6.03	6.12	5.97	5.98	330290	6193030.000
01/17/2011	5.95	5.95	5.69	5.70	568662	10276232.000
01/18/2011	5.69	5.80	5.66	5.73	206541	3707229.500
01/19/2011	5.78	5.83	5.73	5.81	304204	5488618.000
01/20/2011	5.82	5.82	5.60	5.60	276330	4918669.000
01/21/2011	5.59	5.70	5.55	5.63	202320	3556985.000
01/24/2011	5.63	5.67	5.46	5.47	297600	5155280.000
01/25/2011	5.49	5.49	5.42	5.45	167899	2861164.000
01/26/2011	5.49	5.53	5.45	5.52	213700	3682805.000
01/27/2011	5.46	5.61	5.46	5.57	214941	3737557.000
01/28/2011	5.59	5.61	5.55	5.60	139566	2436083.500
01/31/2011	5.61	5.65	5.55	5.63	204508	3590268.000
02/01/2011	5.63	5.67	5.63	5.67	182004	3217057.250
02/09/2011	5.60	5.68	5.59	5.60	173882	3063502.000
02/10/2011	5.60	5.76	5.60	5.76	376220	6718712.500
02/11/2011	5.76	5.86	5.69	5.86	343684	6219946.500
02/14/2011	5.83	5.94	5.83	5.93	494464	9073361.000
02/15/2011	5.94	5.94	5.88	5.92	411558	7607379.500
02/16/2011	5.92	5.97	5.89	5.97	407080	7533584.500
02/17/2011	5.98	5.98	5.85	5.88	636160	11725660.000
02/18/2011	5.87	5.88	5.80	5.88	466774	8527559.000
02/21/2011	5.87	5.95	5.85	5.94	573214	10542758.000
02/22/2011	5.94	5.96	5.72	5.73	588171	10684920.000
02/23/2011	5.72	5.80	5.70	5.74	380477	6829314.500
02/24/2011	5.74	5.81	5.72	5.81	495601	8924387.000
02/25/2011	5.80	5.83	5.73	5.81	372714	6739489.500
02/28/2011	5.78	5.83	5.74	5.82	536983	9688353.000
03/01/2011	5.82	5.86	5.80	5.84	623233	11350013.000
03/02/2011	5.85	5.93	5.84	5.91	895424	16450825.000
03/03/2011	5.93	5.94	5.84	5.84	611982	11236371.000
03/04/2011	5.84	5.92	5.81	5.90	653209	11955477.000
03/07/2011	5.92	6.01	5.89	5.90	543065	10042138.000
03/08/2011	5.89	5.95	5.88	5.94	599585	11089407.000
03/09/2011	5.97	5.97	5.90	5.93	475710	8796692.000
03/10/2011	5.96	5.97	5.89	5.90	410218	7598604.500
03/11/2011	5.88	6.35	5.86	6.05	1217102	23115384.000
03/14/2011	6.09	6.13	6.04	6.08	744796	14136812.000
03/15/2011	6.07	6.07	5.85	5.94	478701	8899874.000
03/16/2011	5.96	6.05	5.95	6.04	336955	6310027.500
03/17/2011	5.99	6.03	5.90	5.92	415270	7718408.000
03/18/2011	5.92	5.97	5.90	5.92	234929	4345653.000
03/21/2011	5.86	5.96	5.86	5.95	343080	6324171.000
03/22/2011	5.99	5.99	5.91	5.95	244240	4523735.000
03/23/2011	5.91	6.00	5.91	5.99	270475	5048890.000
03/24/2011	5.99	6.09	5.96	6.06	489664	9245660.000
03/25/2011	6.07	6.12	5.99	6.06	347516	6552257.000
03/28/2011	6.06	6.12	5.99	6.03	533896	10065626.000
03/29/2011	6.05	6.09	5.93	5.94	445529	8299990.000
03/30/2011	6.03	6.09	5.96	5.99	548944	10341052.000
03/31/2011	6.04	6.10	5.99	6.10	680285	12850005.000
04/01/2011	6.10	6.14	6.02	6.07	504199	9555446.000
04/06/2011	6.07	6.07	5.88	5.91	575844	10682901.000
04/07/2011	5.98	6.00	5.89	5.98	206327	3843204.500
04/08/2011	5.98	6.01	5.95	6.00	321590	6010268.000
