300018 中元华电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.34	13.94	13.34	13.79	1248308	26582624.000
10/11/2010	13.84	13.98	13.50	13.71	1675446	35292564.000
10/12/2010	13.73	14.51	13.63	14.44	2076938	45458272.000
10/13/2010	14.40	14.70	13.93	14.57	2054472	45244680.000
10/14/2010	14.67	14.72	14.21	14.31	1713252	38124840.000
10/15/2010	14.25	14.25	13.64	13.77	1581135	33835840.000
10/18/2010	13.93	13.99	12.35	13.32	1390878	28510424.000
10/19/2010	13.32	14.69	13.21	14.69	2896814	64188960.000
10/20/2010	14.93	15.59	14.80	14.97	5007852	117297752.000
10/21/2010	14.73	15.00	14.40	14.82	2196479	49600460.000
10/22/2010	14.73	15.59	14.44	15.35	3424171	80919104.000
10/25/2010	15.31	16.24	15.27	15.97	3095516	76006152.000
10/26/2010	15.83	16.00	15.17	15.48	2283273	54021092.000
10/27/2010	15.55	15.59	14.87	14.96	1702585	39880648.000
10/28/2010	14.80	15.08	14.70	14.93	1267100	28971200.000
10/29/2010	15.07	15.52	14.74	15.11	2417125	56844744.000
11/01/2010	15.33	16.67	15.33	16.67	4440497	111077800.000
11/02/2010	17.19	17.25	16.27	16.27	5333579	137794656.000
11/03/2010	16.00	16.00	15.13	15.70	2638730	63122912.000
11/04/2010	15.53	16.27	15.19	16.14	1943121	46895688.000
11/05/2010	16.17	16.36	15.47	15.63	4542807	108902576.000
11/08/2010	15.77	16.27	15.49	16.21	3645075	89688552.000
11/09/2010	16.27	16.27	15.58	16.05	3851533	94098616.000
11/10/2010	15.93	16.55	15.77	16.49	3838401	96148000.000
11/11/2010	16.39	16.59	15.99	16.00	3163110	79430608.000
11/12/2010	15.93	15.93	14.60	14.77	3027987	70922072.000
11/15/2010	14.77	15.49	14.67	15.37	1854862	43337656.000
11/16/2010	15.43	16.27	15.27	15.55	3371776	81965568.000
11/17/2010	15.33	15.84	14.37	14.72	1831248	43175800.000
11/18/2010	14.92	15.13	14.53	14.73	1313050	29874540.000
11/19/2010	14.79	15.80	14.71	15.79	2777296	65484368.000
11/22/2010	15.70	16.59	15.65	16.55	5001680	125359168.000
11/23/2010	16.50	16.50	15.37	15.47	5416973	130723216.000
11/24/2010	15.59	16.37	15.59	16.26	4412943	108811272.000
11/25/2010	16.43	16.49	15.67	16.07	3630965	89595648.000
11/26/2010	16.14	16.70	16.13	16.33	4141501	104359304.000
11/29/2010	16.40	17.17	15.98	16.89	5089432	130688688.000
11/30/2010	16.93	17.12	15.73	16.21	3834343	96577312.000
12/01/2010	16.12	16.70	15.86	16.67	2180911	54517388.000
12/02/2010	16.69	16.85	16.37	16.77	2609541	66885576.000
12/03/2010	16.83	16.83	16.08	16.29	1911605	48124544.000
12/06/2010	16.33	16.33	15.20	15.33	2767988	66058308.000
12/07/2010	15.33	15.55	14.81	15.46	1346124	31458512.000
12/08/2010	15.30	15.49	15.04	15.05	1369377	32101918.000
12/09/2010	15.00	15.43	15.00	15.03	1036716	24267972.000
12/10/2010	14.85	15.19	14.67	15.19	907352	20932648.000
12/13/2010	15.23	15.73	15.22	15.59	1736336	41475324.000
12/14/2010	15.60	15.71	15.25	15.47	1787094	42410032.000
12/15/2010	15.47	15.70	15.33	15.55	1723490	41132392.000
12/16/2010	15.43	16.03	15.43	15.73	2003043	48788608.000
12/17/2010	15.74	15.89	15.51	15.85	1411131	34130548.000
12/20/2010	15.90	15.98	14.67	15.18	1874096	44353964.000
12/21/2010	14.94	15.30	14.79	15.23	2247308	51796028.000
12/22/2010	15.13	15.17	14.67	14.86	1848501	42333936.000
12/23/2010	14.83	14.93	14.54	14.56	988174	22380152.000
12/24/2010	14.44	14.57	14.03	14.08	1127987	24742706.000
12/27/2010	13.98	14.37	13.23	13.48	1087858	23419666.000
12/28/2010	13.47	13.55	13.20	13.28	863935	17809716.000
12/29/2010	13.28	13.58	13.28	13.57	536798	11177698.000
12/30/2010	13.57	13.57	13.33	13.41	586745	12160598.000
12/31/2010	13.41	13.83	13.41	13.80	871643	18364598.000
01/04/2011	13.80	13.98	13.69	13.92	656279	14029802.000
01/05/2011	13.89	14.25	13.73	14.19	910717	19734860.000
01/06/2011	14.25	14.39	13.93	13.95	853790	18604128.000
01/07/2011	14.00	14.33	13.85	14.11	924055	20142176.000
01/10/2011	14.07	14.17	13.33	13.45	1072932	22578320.000
01/11/2011	13.31	13.42	13.06	13.24	731556	14914640.000
01/12/2011	13.18	13.45	13.12	13.24	499083	10224322.000
01/13/2011	13.49	13.49	13.21	13.31	493131	10133201.000
01/14/2011	13.20	13.21	12.94	13.02	596137	12062102.000
01/17/2011	13.00	13.01	12.37	12.41	858272	16901550.000
01/18/2011	12.40	12.57	12.37	12.51	244985	4726553.000
01/19/2011	12.60	12.77	12.50	12.75	335510	6567840.500
01/20/2011	12.65	12.81	11.90	11.97	762529	14480941.000
01/21/2011	11.83	12.05	11.60	11.69	1278317	23358622.000
01/24/2011	11.71	11.93	11.54	11.57	571540	10379531.000
01/25/2011	11.48	11.80	11.32	11.80	910993	16379485.000
01/26/2011	11.86	11.92	11.72	11.88	261656	4798934.000
01/27/2011	11.82	12.06	11.73	11.92	525540	9710041.000
01/28/2011	11.99	12.00	11.73	11.85	795985	14637448.000
01/31/2011	11.89	11.95	11.68	11.93	651743	11935407.000
02/01/2011	11.95	11.96	11.79	11.85	514484	9464481.000
02/09/2011	11.73	11.89	11.41	11.49	800653	14480997.000
02/10/2011	11.47	12.53	11.40	12.21	2706226	50573872.000
02/11/2011	12.19	12.25	12.05	12.20	1690194	31804424.000
02/14/2011	12.21	12.59	12.13	12.53	1787718	34367252.000
02/15/2011	12.55	12.63	12.41	12.42	1782428	34541776.000
02/16/2011	12.41	12.63	12.37	12.60	1866213	36137176.000
02/17/2011	12.60	12.91	12.57	12.75	1926458	37912732.000
02/18/2011	12.73	12.86	12.35	12.41	1654156	32241210.000
02/21/2011	12.29	12.65	12.29	12.60	1112486	21523326.000
02/22/2011	12.61	12.78	12.20	12.23	1493943	28866660.000
02/23/2011	12.22	12.41	12.20	12.37	954081	18162762.000
02/24/2011	12.33	12.46	12.20	12.40	1193167	22868004.000
02/25/2011	12.37	12.51	12.35	12.47	1637424	31458224.000
02/28/2011	12.42	12.63	12.27	12.63	2105955	40531228.000
03/01/2011	12.63	12.75	12.52	12.62	1831280	35814588.000
03/02/2011	12.55	12.66	12.39	12.49	1364241	26338454.000
03/03/2011	12.54	12.86	12.47	12.49	2437677	47882332.000
03/04/2011	12.50	12.56	12.25	12.39	1500840	28659114.000
03/07/2011	12.39	12.55	12.33	12.55	1569887	30188816.000
03/08/2011	12.55	12.73	12.40	12.71	1871922	36336752.000
03/09/2011	12.65	12.71	12.51	12.53	1446651	28144996.000
03/10/2011	12.53	12.79	12.48	12.56	1946784	38053912.000
03/11/2011	12.53	12.58	12.38	12.43	1345626	25975088.000
03/14/2011	12.38	12.55	12.35	12.45	1063419	20502174.000
03/15/2011	12.46	12.46	11.85	12.00	1877842	35205832.000
03/16/2011	12.01	12.13	11.95	12.05	1532674	28568104.000
03/17/2011	12.03	12.03	11.53	11.59	2225128	40451496.000
03/18/2011	11.60	11.73	11.60	11.69	1229347	22224196.000
03/21/2011	11.73	11.82	11.65	11.70	784740	14265774.000
03/22/2011	11.76	11.81	11.63	11.77	866383	15731462.000
03/23/2011	11.80	11.85	11.74	11.84	765729	14019018.000
03/24/2011	11.84	11.91	11.79	11.79	791086	14525612.000
03/25/2011	11.79	11.85	11.71	11.83	954967	17466868.000
03/28/2011	11.80	11.87	11.71	11.73	1455669	26582522.000
03/29/2011	11.73	11.77	11.33	11.42	1752352	31415548.000
03/30/2011	11.41	11.50	11.33	11.42	972919	17219432.000
03/31/2011	11.40	11.58	11.35	11.43	764485	13592255.000
04/01/2011	11.43	11.49	11.33	11.48	686534	12163271.000
04/06/2011	11.41	11.55	11.33	11.45	1098659	19520020.000
04/07/2011	11.42	11.70	11.40	11.70	1456263	26032446.000
04/08/2011	11.70	11.79	11.64	11.74	967878	17590614.000
